File Name,Supplier Name,Invoice Number,Invoice Date,SIRET,Echeance,Invoice Content,TVA Percentage,TVA Amount,Total Amount,Payment Status,Solde du,Notes
FR_invoice_img_real_001.jpg,AOYAMA,T109200,31/03/2026,44418819700016,,1 Repas complet,10%; 20%,"3,40 EUR","33,90 EUR",PAID,,"Justificatif de paiement; CB 33,90 EUR"
FR_invoice_img_real_002.jpg,Hyper Carrefour Chalon,00031 00 02 00550383,31/03/2026,99269214500012,,"Gazole 24,03 L @ 2,279 EUR/L",20%,"9,13 EUR","54,76 EUR",PAID,,Carte bancaire Visa - debit
FR_invoice_img_real_003.jpg,Orano Le Prisme,002-001-305604,31/03/2026,,,Petit pain individuel; Conte AOP; Beurre portion x2; Eminence de boeuf,10%; 20%,"1,07 EUR","12,84 EUR",UNKNOWN,,"Cantine - badge interne; 'Solde 10,19' = solde du badge, pas de la facture"
FR_invoice_img_real_004.jpg,Le Creusot Gare TGV (Effia),25557,31/03/2026,,,Stationnement Tarif 5 (Entree 17:31 / Paiement 22:31),20%,"0,73 EUR","4,40 EUR",PAID,,Visa sans contact
FR_invoice_img_real_005.jpg,La Boucherie Restaurant,134788,29/03/2026,85214583800029,,1664 33CL; Tresor Louchebem; Garniture supplement; Supp sauce,10%; 20%,"4,39 EUR","43,50 EUR",PAID,,CB sans contact
FR_invoice_img_real_006.jpg,Studio Photo Lumiere & Art,SPL-2024-0198,19/04/2024,77789012300234,04/05/2024,Seance photo mariage (4h); Retouches numeriques (x80); Album photo 30x30 cm,20%,"270,00 EUR","1 620,00 EUR",UNKNOWN,,Conditions de reglement: Virement bancaire sous 15 jours
FR_invoice_img_real_007.jpg,Clinique Dentaire Sourire,CDS-2024-0345,16/04/2024,44456789100223,01/05/2024,Detartrage complet; Soin carie molaire; Radiographie panoramique,20%,"59,00 EUR","354,00 EUR",PAID,,Paye par Carte Bleue **** 2231 le 16/04/2024
FR_invoice_img_real_008.jpg,Chauffage & Climatisation Roux,CCR-2024-0423,25/04/2024,99956789200267,25/05/2024,Installation climatisation reversible; Mise en service et reglages; Garantie extension 3 ans,10%,"225,00 EUR","2 475,00 EUR",UNKNOWN,,"Conditions: 40% commande, 60% reception - Virement ou cheque"
FR_invoice_img_real_009.jpg,Fleuriste Jardin d'Eden,FJE-2024-0087,23/04/2024,66623456700256,08/05/2024,Bouquet mariee rose & pivoine; Decoration florale tables (x8); Composition entree salle,10%,"82,00 EUR","902,00 EUR",PAID,,Solde paye par American Express **** 8872 le 23/04/2024
FR_invoice_img_real_010.jpg + FR_invoice_img_real_015.jpg,(non lisible - facture SCA010),FC20251175,28/04/2025,,28/05/2025,AUDIT INITIAL ISO 19443 Etape 1 & Etape 2; Certification ISO 9001 version 2015,20%,"672,41 EUR","4 034,46 EUR",UNPAID,"4 034,46 EUR",Mode VIREMENT 30j net; N TVA intracom FR33845175751; deux photos = meme facture
FR_invoice_img_real_011.jpg,Informatique Solutions Pro,ISP-2024-0512,21/04/2024,33390123400245,21/05/2024,Remplacement disque SSD 1To; Reinstallation Windows 11; Sauvegarde donnees (2h); Antivirus licence 1 an,20%,"78,80 EUR","472,80 EUR",PAID,,Paye par Visa **** 4491 le 22/04/2024
FR_invoice_img_real_012.jpg + FR_invoice_img_real_016.jpg,(non lisible - fournisseur SCAI Systems),,,,15/11/2025,"Scie radiale 1800W D355MM MKAS35 +2 lames; Lame scie D355x25,4x2,2mm 66 dts acier (x9); Lame scie supplementaire (x1)",20%,"419,80 EUR","2 518,81 EUR",UNKNOWN,,Facture multi-pages; Mode Virement; Cde 08/09/2025; livre a SCAI Systems Le Creusot
FR_invoice_img_real_013.jpg,Fers et Metaux du Chalonnais,,,,31/03/2026,Corniere S235 JR 120x120x12; Poutrelle S275 JR IPE 270; Rond serrurier S235 JR Diam18; Corniere 25x25x3; TAC tole a chaud 1000x2000x15; Poutrelle UPN 100; Transport; Corniere 80x80x8,20%,"1 309,13 EUR","7 854,77 EUR",UNKNOWN,,"Conditions de reglement: le 31/03/26; Acompte 0,00; Net a payer 7 854,77; Virement"
FR_invoice_img_real_014.jpg,Wurth Proxi Shop Le Creusot,4330739666,,,25/12/2024,Disques a meuler MEULE EBARBER ZIRCO+ 230x6.4x22.2; Niveau digital IP65 61CM Zebra; Briquet USB electrique (offert); Coupon cadeau,20%,"136,50 EUR","818,98 EUR",UNKNOWN,,Page 2/3 seulement; Conditions 30 jours; Mode Traite directe / Virement
FR_invoice_real_029.pdf,Epicerie Fine Marchand,EFM-2023-0412,12/11/2023,12378945600178,27/11/2023,Foie gras mi-cuit (4 boites) x6; Confiture artisanale (x12) x12; Huile d'olive AOC (4 flacons) x4,"5,5%","19,24 EUR","369,04 EUR",PAID,,Paye par Visa **** 4712 le 13/11/2023
FR_invoice_real_030.pdf,Atelier Couture & Retouches Blondel,ACR-2023-1205,05/12/2023,55534567900169,20/12/2023,Retouche robe de mariee; Ourlet pantalon (x3); Remplacement fermeture eclair,20%,"50,00 EUR","300,00 EUR",PAID,,Especes recues - recu N 2023-1205
FR_invoice_real_031.pdf,Garage Mecanique Verdier,GMV-2023-0789,28/10/2023,88801234600190,12/11/2023,Vidange + filtre huile; Remplacement plaquettes frein AV; Main d'oeuvre revision (3h); Pneumatiques 195/65 R15 (x2),20%,"121,20 EUR","727,20 EUR",UNKNOWN,,Conditions de reglement: Cheque a l'ordre de Garage Verdier sous 15 jours
FR_invoice_real_032.pdf,Ecole de Musique Harmonie,EMH-2024-0023,08/01/2024,33345678900201,08/02/2024,Cours de piano - trimestre 1 (x12 seances); Location salle de repetition (x4h); Partition recueil Bach,20%,"127,70 EUR","766,20 EUR",PAID,,Reglement par CB Mastercard **** 3308 accepte le 09/01/2024
FR_invoice_real_033.pdf,Paysagiste Terrain Vert EURL,PTV-2024-0156,22/02/2024,66612890100212,08/03/2024,Tonte pelouse + ramassage (x4 passages); Taille haies et arbustes; Plantation massif fleuri (x15 plants); Evacuation dechets verts,10%,"73,50 EUR","808,50 EUR",UNKNOWN,,Conditions de reglement: Virement IBAN FR76 3000 6228 3700 0100 0000 - a regler avant le 08/03/2024
