Entity,Precision,Recall,F1,Status,Notes
supplier_name,68.04,97.78,80.24,Good,Header/Fournisseur detection strong on the new dataset
invoice_number,56.44,43.85,49.35,Moderate,Misses non-standard refs; receipts often have no invoice number
invoice_date,80.23,85.71,82.88,Good,Multiple date formats covered well
siret,79.63,87.76,83.50,Good,14-digit detection reliable on printed invoices
echeance,93.94,80.52,86.71,Good,Strong precision; recall limited when label implicit
invoice_content,29.53,48.35,36.67,Weak,Free-text line items; hardest field (receipts + multi-row)
tva_percentage,73.68,62.82,67.82,Good,Easy when "TVA 20%" present; mixed-rate hurts recall
tva_amount,82.83,48.24,60.97,Moderate,Confuses TVA with subtotals on some layouts
total_amount,88.24,66.67,75.95,Good,Strong on "Total TTC"; weaker when label missing
payment_status,56.35,100.00,72.08,Moderate,High recall; precision lower (PAID over-predicted)
solde_du,50.00,48.89,49.44,Weak,Only present on a minority of invoices
,,,,,
MACRO AVERAGE (11 fields),68.99,70.05,67.78,M1 BASELINE (NEW 2026-05-22),Mean of per-field metrics over 197 docs (84 synthetic + 113 real)
,,,,,
OVERALL ACCURACY,,,53.71,M1 BASELINE (NEW),Field-match accuracy over 197 docs
M2 TARGET (per brief),,,55.00,Must exceed,Brief target is 55% macro F1
GAP (macro F1 - target),,,+12.78,,M1 rules already beat the 55% target on this dataset — see m1_baseline.md note
consumer_name (NEW for M2),N/A,N/A,N/A,To be built,12th entity — rules cannot reliably extract this
